active_from,active_to,birth_date,college,name,position,position,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,NCAA_ppg
1991,1995,24-Jun-68,Duke University,Alaa Abdelnaby,F-C,F-C,0,0,0,0.502,0.502,2.4,4.8,0.701,0.9,1.3,256,5.7,0,,0,,5.6,0.599,3.3,0.728,2.5,1.8,134,8.5,8.5
1969,1978,7-Apr-46,Iowa State University,Zaid Abdul-Aziz,C-F,C-F,,,,,0.428,3.5,8.2,0.728,2,2.8,505,9,,,,,,,,,,,,,
1970,1989,16-Apr-47,"University of California, Los Angeles",Kareem Abdul-Jabbar,C,C,0,0.056,0,0.559,0.559,10.2,18.1,0.721,4.3,6,1560,24.6,,,,,16.8,0.639,10.7,0.628,7.9,5,88,26.4,26.4
1991,2001,9-Mar-69,Louisiana State University,Mahmoud Abdul-Rauf,G,G,2.3,0.354,0.8,0.472,0.442,6,13.6,0.905,1.8,2,586,14.6,7.2,0.372,2.7,,21.9,0.474,10.4,0.863,6.4,5.5,64,29,29
1998,2003,3-Nov-74,"University of Michigan, San Jose State University",Tariq Abdul-Wahad,F,F,0.3,0.237,0.1,0.422,0.417,3.1,7.3,0.703,1.6,2.2,236,7.8,,,,,,,,,,,,,
1997,2008,11-Dec-76,University of California,Shareef Abdur-Rahim,F,F,0.6,0.297,0.2,0.479,0.472,6.5,13.9,0.81,4.8,6,830,18.1,0.8,0.381,0.3,,14.2,0.518,7.4,0.683,8.9,6.1,28,21.1,21.1
1977,1981,6-May-54,Indiana University,Tom Abernethy,F,F,0,0,0,0.492,0.492,2.3,4.6,0.747,1,1.4,319,5.6,,,,,4.5,0.533,2.4,0.689,1.7,1.1,110,5.9,5.9
1957,1957,27-Jul-32,Western Kentucky University,Forest Able,G,G,,,,,0,0,2,,0,0,1,0,,,,,,,,,,,,,
1947,1948,9-Feb-19,Salem International University,John Abramovic,F,F,,,,,0.237,3.6,15.3,0.686,2.3,3.3,56,9.5,,,,,,,,,,,,,
2017,2018,1-Aug-93,,Alex Abrines,G-F,G-F,3.3,0.379,1.2,0.533,0.393,1.7,4.4,0.871,0.6,0.7,142,5.3,,,,,,,,,,,,,
2006,2009,21-Jan-83,Pepperdine University,Alex Acker,G,G,0.8,0.32,0.3,0.413,0.37,1.1,3.1,0.5,0.2,0.3,30,2.7,3.3,0.411,1.4,,11.2,0.457,5.1,0.823,3.5,2.9,88,14.5,14.5
1954,1954,4-Sep-30,Long Island University,Don Ackerman,G,G,,,,,0.222,0.5,2.3,0.536,0.5,1,28,1.5,,,,,,,,,,,,,
1988,1993,15-Nov-62,Oral Roberts University,Mark Acres,F-C,F-C,0,0.538,0,0.509,0.506,1.4,2.7,0.665,0.8,1.2,375,3.6,,,,,12.9,0.564,7.3,0.696,5.7,4,110,18.5,18.5
1968,1968,11-Jan-42,Hillsdale College,Bud Acton,F,F,,,,,0.392,1.3,3.2,0.655,0.8,1.3,23,3.3,,,,,,,,,,,,,
2013,2018,6-Oct-90,Baylor University,Quincy Acy,F,F,1.5,0.355,0.5,0.516,0.446,1.8,4,0.761,0.9,1.2,325,5,0.1,0.429,0,,6,0.602,3.6,0.708,3.6,2.5,139,9.8,9.8
1976,1988,19-Jul-54,University of Oklahoma,Alvan Adams,C-F,C-F,0,0.133,0,0.498,0.498,5.8,11.6,0.788,2.5,3.2,988,14.1,,,,,18,0.539,9.7,0.702,5.6,3.9,73,23.4,23.4
1971,1977,27-Nov-47,Northwestern University,Don Adams,F,F,0.1,0,0,0.402,0.402,3.5,8.7,0.741,1.8,2.5,523,8.8,,,,,,,,,,,,,
1973,1975,15-May-49,Gardner-Webb University,George Adams,F-G,F-G,0.1,0.235,0,0.499,0.497,3.3,6.7,0.794,1,1.3,215,7.7,,,,,,,,,,,,,
2007,2009,20-Jun-84,University of Arizona,Hassan Adams,G,G,0,0,0,0.534,0.534,1.1,2,0.643,0.4,0.6,73,2.5,1.9,0.311,0.6,,11.6,0.499,5.8,0.704,2.7,1.9,130,14,14
2015,2016,8-Jul-94,"University of California, Los Angeles",Jordan Adams,G,G,0.8,0.385,0.3,0.457,0.402,1.2,2.9,0.607,0.5,0.9,32,3.2,4.3,0.331,1.4,,11.6,0.467,5.4,0.839,5,4.2,69,16.4,16.4
1986,1996,19-Jan-63,Boston College,Michael Adams,G,G,4.4,0.332,1.5,0.475,0.415,5,12,0.849,3.3,3.9,653,14.7,,,,,11.3,0.47,5.3,0.75,4.3,3.2,119,13.9,13.9
2014,2018,20-Jul-93,University of Pittsburgh,Steven Adams,C,C,0,0,0,0.585,0.585,3.6,6.1,0.566,1.6,2.8,385,8.7,0,,0,,5.5,0.571,3.1,0.443,2.2,1,32,7.2,7.2
1987,1997,22-Jul-64,Syracuse University,Rafael Addison,F-G,F-G,0.6,0.282,0.2,0.466,0.449,2.4,5.4,0.772,0.7,0.9,379,5.8,,,,,11.6,0.534,6.2,0.763,3.3,2.5,126,14.9,14.9
2018,2018,18-Jul-97,University of Kentucky,Bam Adebayo,C-F,C-F,0.1,0,0,0.508,0.508,2.5,5,0.711,1.8,2.6,67,6.9,0,,0,,7.5,0.599,4.5,0.653,6.2,4.1,38,13,13
1969,1975,16-Jun-46,Loyola Marymount University,Rick Adelman,G,G,,,,,0.415,3,7.2,0.713,1.8,2.5,462,7.7,,,,,,,,,,,,,
2011,2015,10-Feb-86,University of Connecticut,Jeff Adrien,F,F,0,0,0,0.474,0.474,1.7,3.6,0.628,1.2,1.9,153,4.6,0,0.333,0,,8.8,0.515,4.5,0.606,4.9,3,133,12.1,12.1
2008,2018,15-Oct-85,"University of California, Los Angeles",Arron Afflalo,G,G,2.9,0.386,1.1,0.514,0.449,3.9,8.7,0.825,1.8,2.2,761,10.8,5.4,0.373,2,,10.9,0.457,5,0.781,3.6,2.8,104,14.8,14.8
2007,2011,9-Feb-84,Michigan State University,Maurice Ager,G,G,0.5,0.25,0.1,0.368,0.339,0.8,2.3,0.566,0.4,0.6,82,2.1,4.3,0.38,1.6,,9.6,0.441,4.2,0.775,3.2,2.5,124,12.5,12.5
1982,1994,10-Dec-59,DePaul University,Mark Aguirre,F-G,F-G,1.4,0.312,0.4,0.498,0.484,7.8,16.1,0.741,4,5.4,923,20,,,,,18.2,0.546,9.9,0.768,6.8,5.2,87,25.1,25.1
2008,2012,27-May-84,Missouri State University,Blake Ahearn,G,G,2.5,0.298,0.7,0.364,0.273,1.1,4.1,0.97,1.7,1.7,19,4.6,5.2,0.408,2.1,,8.9,0.423,3.7,0.946,3.6,3.4,129,13,13
1982,1995,17-Mar-59,Brigham Young University,Danny Ainge,G,G,2.5,0.378,1,0.519,0.469,4.5,9.5,0.846,1.6,1.9,1042,11.5,,,,,15.9,0.526,8.4,0.816,5.1,4.2,118,20.9,20.9
1968,1968,21-Sep-44,Michigan State University,Matthew Aitch,F,F,0,0,0,0.405,0.405,2.2,5.5,0.675,1.2,1.7,45,5.6,,,,,,,,,,,,,
2009,2017,6-May-88,,Alexis Ajinca,C,C,0.1,0.286,0,0.507,0.503,2.2,4.4,0.797,0.9,1.1,293,5.3,,,,,,,,,,,,,
1967,1969,31-Jul-44,Morehead State University,Henry Akin,C-F,C-F,1,0,0,0.35,0.35,1.5,4.2,0.676,0.5,0.8,88,3.5,,,,,,,,,,,,,
2013,2013,10-Feb-86,"Washington State University, California State University, Fullerton",Josh Akognon,G,G,0.7,0.5,0.3,0.625,0.5,0.7,1.3,,0,0,3,1.7,7.6,0.372,2.8,,12.3,0.408,5,0.871,2.7,2.3,119,15.2,15.2
2011,2012,21-Mar-88,Florida State University,Solomon Alabi,C,C,0,,0,0.314,0.314,0.6,2,0.7,0.3,0.4,26,1.5,0,0,0,,6.6,0.534,3.5,0.745,2.9,2.1,77,9.1,9.1
1987,1991,11-Dec-63,Duke University,Mark Alarie,F,F,0.4,0.252,0.1,0.483,0.475,3.2,6.7,0.775,1,1.3,325,7.5,0.1,0,0,,11.3,0.55,6.2,0.797,4.5,3.6,133,16.1,16.1
1960,1961,8-Oct-36,"California State University, Fresno",Gary Alcorn,C,C,,,,,0.293,1.3,4.5,0.598,0.7,1.2,78,3.3,,,,,,,,,,,,,
2015,2015,9-Aug-91,,Furkan Aldemir,F-C,F-C,0.1,0,0,0.513,0.513,1,1.9,0.481,0.3,0.7,41,2.3,,,,,,,,,,,,,
2011,2018,31-Oct-88,University of Kansas,Cole Aldrich,C,C,0,,0,0.527,0.527,1.3,2.4,0.738,0.5,0.7,338,3.1,0,,0,,6.1,0.574,3.5,0.729,3.2,2.3,111,9.4,9.4
2007,2018,19-Jul-85,University of Texas at Austin,LaMarcus Aldridge,F-C,F-C,0.4,0.289,0.1,0.493,0.489,7.9,16.1,0.806,3.5,4.4,867,19.4,0,,0,,8.9,0.586,5.2,0.649,4.7,3,53,13.5,13.5
1985,1985,26-Feb-59,"University of Kentucky, University of Connecticut",Chuck Aleksinas,C,C,0,0,0,0.478,0.478,2.2,4.6,0.733,0.7,1,74,5.1,,,,,6.8,0.561,3.8,0.721,3.5,2.5,96,10.1,10.1
2016,2016,16-Nov-95,University of Kansas,Cliff Alexander,F,F,0,,0,0.5,0.5,0.6,1.3,,0,0,8,1.3,0,,0,,4.6,0.566,2.6,0.671,2.8,1.9,28,7.1,7.1
1996,2005,22-Jun-73,University of Virginia,Cory Alexander,G,G,2.2,0.354,0.8,0.468,0.389,1.9,4.9,0.756,0.9,1.1,307,5.5,5,0.336,1.7,,12.6,0.427,5.4,0.693,3.8,2.7,85,15.1,15.1
2001,2003,27-Apr-77,"University of Virginia, California State University, Fresno",Courtney Alexander,G,G,0.6,0.339,0.2,0.435,0.422,3.5,8.3,0.813,1.8,2.2,187,9,4.1,0.362,1.5,,15.8,0.456,7.2,0.767,3.9,3,112,18.9,18.9
1994,1994,1-Nov-69,University of South Florida,Gary Alexander,F,F,0,,0,0.571,0.571,0.7,1.3,0.333,0.3,0.8,11,1.7,,,,,,,,,,,,,
2009,2010,26-Dec-86,West Virginia University,Joe Alexander,F,F,0.7,0.34,0.2,0.442,0.41,1.5,3.7,0.698,0.9,1.3,67,4.2,2.1,0.295,0.6,,10,0.447,4.5,0.765,3.3,2.5,82,12.1,12.1
1992,2002,31-Aug-69,Iowa State University,Victor Alexander,C-F,C-F,0.2,0.286,0.1,0.522,0.518,3.8,7.4,0.634,1.1,1.8,286,8.9,0,0,0,,11.5,0.611,7,0.635,4.8,3,111,17,17
1988,1991,23-Nov-64,Indiana University,Steve Alford,G,G,0.6,0.324,0.2,0.487,0.459,1.7,3.8,0.87,0.8,0.9,169,4.4,5.9,0.53,3.1,,13.5,0.533,7.2,0.898,4.8,4.3,125,19.5,19.5
1968,1968,,New Mexico State University,Bill Allen,C-F,C-F,0.1,1,0.1,0.432,0.429,3.2,7.4,0.586,1.5,2.6,38,7.9,,,,,,,,,,,,,
1969,1969,17-Jul-46,Marshall University,Bob Allen,F,F,,,,,0.326,0.5,1.6,0.556,0.7,1.3,27,1.8,,,,,,,,,,,,,
2018,2018,21-Apr-98,University of Texas at Austin,Jarrett Allen,F-C,F-C,0.2,0.333,0.1,0.59,0.584,3.2,5.5,0.772,1.6,2.1,70,8.1,0.2,0,0,,9.6,0.566,5.4,0.564,4.5,2.5,33,13.4,13.4
1996,1997,28-Jan-73,University of Pennsylvania,Jerome Allen,G,G,1.1,0.317,0.3,0.411,0.35,1,2.8,0.63,0.6,0.9,117,2.9,4.8,0.343,1.6,,11.1,0.417,4.6,0.722,3.8,2.8,109,13.7,13.7
2018,2018,15-Jan-93,University of Arizona,Kadeem Allen,G,G,0.5,0,0,0.143,0.143,0.1,0.9,0.75,0.2,0.3,16,0.4,1.8,0.4,0.7,,6.6,0.459,3,0.725,3.1,2.3,68,9.1,9.1
2012,2017,4-Feb-89,Temple University,Lavoy Allen,F-C,F-C,0,0.133,0,0.472,0.471,2.1,4.5,0.682,0.5,0.7,388,4.8,0.5,0.288,0.1,,8.2,0.534,4.4,0.671,2.4,1.6,135,10.5,10.5
1970,1979,26-Sep-47,"University of California, Los Angeles",Lucius Allen,G,G,,,,,0.463,5.5,11.9,0.76,2.3,3.1,702,13.4,,,,,,,,,,,,,
2002,2011,27-Jun-78,Villanova University,Malik Allen,F-C,F-C,0,0.188,0,0.44,0.439,2.2,4.9,0.778,0.5,0.7,478,4.9,0,,0,,6.7,0.514,3.4,0.696,3,2.1,127,8.9,8.9
1989,1990,26-Jan-65,Florida State University,Randy Allen,F,F,0.1,0,0,0.442,0.442,1.6,3.7,0.533,0.3,0.6,70,3.6,0.1,0,0,,10.5,0.491,5.1,0.615,3.6,2.2,115,12.5,12.5
1997,2014,20-Jul-75,University of Connecticut,Ray Allen,G,G,5.7,0.4,2.3,0.53,0.452,6.6,14.6,0.894,3.4,3.8,1300,18.9,5.1,0.448,2.3,,14.3,0.487,7,0.779,3.5,2.8,101,19,19
2005,2018,11-Jan-82,"Butler County Community College, Oklahoma State University",Tony Allen,G-F,G-F,0.5,0.282,0.2,0.487,0.475,3.2,6.6,0.709,1.7,2.3,820,8.1,2.2,0.347,0.8,,11.5,0.477,5.5,0.682,5.2,3.5,67,15.3,15.3
1972,1972,8-Feb-49,University of Miami,Willie Allen,F,F,0,,0,0.308,0.308,0.6,1.9,0.833,0.7,0.9,7,1.9,,,,,,,,,,,,,
1972,1972,2-Oct-49,"University of Nevada, Las Vegas",Odis Allison,F,F,,,,,0.218,0.5,2.2,0.541,0.9,1.7,36,1.9,,,,,,,,,,,,,
2008,2008,2-Feb-81,"University of Utah, Weber State University",Lance Allred,C,C,0,,0,0.25,0.25,0.3,1.3,0.5,0.3,0.7,3,1,0.1,0.429,0.1,,7.1,0.481,3.4,0.718,3.9,2.8,95,9.7,9.7
1981,1981,12-Sep-58,"University of California, Los Angeles",Darrell Allums,F,F,0,0,0,0.343,0.343,1,3,0.591,0.6,1,22,2.7,,,,,2.7,0.488,1.3,0.688,1.6,1.1,92,3.8,3.8
2008,2012,2-Feb-85,Rice University,Morris Almond,G,G,0.6,0.292,0.2,0.412,0.381,1.1,3,0.743,0.7,0.9,38,3.1,2.9,0.435,1.3,,10.5,0.492,5.2,0.824,4.2,3.5,121,15.1,15.1
1995,1997,20-Aug-72,Duquesne University,Derrick Alston,F,F,0.1,0.143,0,0.49,0.489,2.3,4.7,0.487,0.8,1.7,139,5.4,0,0.333,0,,11.6,0.561,6.5,0.576,6.4,3.7,114,16.7,16.7
2000,2010,24-Jul-76,"California State University, Fresno",Rafer Alston,G,G,4.2,0.354,1.5,0.461,0.383,3.7,9.5,0.729,1.3,1.8,671,10.1,5.9,0.337,2,,9.4,0.401,3.8,0.758,2,1.5,33,11,11
1999,1999,23-Apr-73,Liberty University,Peter Aluma,C,C,0,,0,0.5,0.5,0.5,1,,0,0,2,1,0,0,0,,10.1,0.528,5.3,0.666,5.7,3.8,119,14.4,14.4
1996,2003,26-Nov-70,"Vanderbilt University, Pennsylvania State University",John Amaechi,C-F,C-F,0,0.077,0,0.403,0.403,2.3,5.6,0.671,1.7,2.6,294,6.2,0.6,0.304,0.2,,7.8,0.514,4,0.69,6.6,4.5,108,12.7,12.7
1996,1997,23-Nov-71,Southern Illinois University,Ashraf Amaya,F,F,0,0.5,0,0.457,0.455,1.6,3.4,0.633,1.3,2.1,85,4.5,0.4,0.229,0.1,,9.4,0.567,5.3,0.659,5.8,3.8,128,14.6,14.6
2011,2018,21-Sep-90,Wake Forest University,Al-Farouq Aminu,F,F,2.2,0.337,0.7,0.478,0.422,2.8,6.6,0.726,1.2,1.7,587,7.5,1.7,0.238,0.4,,10.6,0.476,5,0.687,5.7,3.9,62,14.4,14.4
2007,2016,7-Dec-82,"University of Nevada, Las Vegas",Lou Amundson,F,F,0,0,0,0.474,0.474,1.5,3.2,0.444,0.6,1.4,428,3.7,0,0,0,,5.4,0.535,2.9,0.503,3,1.5,120,7.2,7.2
1960,1960,24-Aug-37,Michigan State University,Bob Anderegg,F-G,F-G,,,,,0.385,1.7,4.3,0.548,0.7,1.3,33,4,,,,,,,,,,,,,
2002,2017,7-Jul-78,Blinn College,Chris Andersen,F-C,F-C,0.1,0.221,0,0.535,0.532,1.9,3.6,0.654,1.5,2.3,695,5.4,,,,,,,,,,,,,
2010,2011,23-Jun-80,,David Andersen,C,C,1,0.347,0.3,0.478,0.44,2,4.5,0.674,0.6,0.9,103,4.9,,,,,,,,,,,,,
2006,2017,16-Oct-82,Michigan State University,Alan Anderson,G-F,G-F,2.9,0.344,1,0.484,0.405,2.6,6.3,0.816,1.2,1.5,330,7.3,1,0.366,0.4,,6.1,0.503,3,0.831,3.6,3,126,9.5,9.5
1968,1970,6-Jul-45,Canisius College,Andrew Anderson,G,G,0.3,0.159,0.1,0.413,0.41,4.1,10.1,0.755,2.4,3.2,194,10.7,,,,,,,,,,,,,
2010,2010,5-Jun-85,University of Memphis,Antonio Anderson,G,G,0,,0,0.333,0.333,1,3,,0,0,1,2,3,0.308,0.9,,6.9,0.418,2.9,0.648,2.8,1.8,150,8.5,8.5
1968,1971,7-Sep-44,Saint Joseph's University,Cliff Anderson,G-F,G-F,0,,0,0.354,0.354,0.9,2.5,0.585,1.3,2.2,84,3,,,,,,,,,,,,,
